1942sgm "1942 (SGM) (HB)"
trafcjam "Traffic Jam (SGM) (HB)"
ttennis "Tournament Tennis"
tunnels "Tunnels and Trolls (Demo)"
turbo "Turbo"
turmoil2022 "Turmoil 2022 (HB)"
tutankhm "Tutankham"
tutankhma "Tutankham (Alt)"
twinbee "Twin Bee (SGM) (HB)"
txupinazo "Txupinazo! (SGM) (HB)"
upndown "Up'n Down"
uridium "Uridium (SGM) (HB)"
utopia "Utopia (HB)"
uwol "Uwol Quest for Money (HB)"
vanguard "Vanguard (HB)"
venture "Venture"
vexed "Vexed (HB, v1.08)"
victory "Victory"
void "Void, The (HB)"
war "War (HB)"
wargames "War Games"
wargamesp "War Games (Prototype, 0417)"
warpwarp "Warp & Warp (SGM) (HB)"
warroom "War Room"
watervil "Waterville Rescue (HB)"
wingwar "Wing War"
winktrap "Winky Trap (HB)"
wizmath "Wizard of Id's Wizmath"
wonderboy "Wonder Boy (SGM) (HB)"
wordfeud "Word Feud"
wow "Wizard of Wor (SGM) (HB)"
wsbyrons "Whack 'Em Smack 'Em Byrons (HB)"
xyzolog "Xyzolog (SGM) (HB)"
yarsrevenge "Yar's Revenge (HB)"
yewdow "Yewdow (HB)"
yiear "Yie-Ar Kung Fu (HB)"
yiearii "Yie Ar Kung Fu II (SGM) (HB)"
yolk "Yolks on You, The (Prototype)"
zanac "Zanac (SGM) (HB)"
zaxxon "Zaxxon"
zaxxon2 "Zaxxon II (HB)"
zaxxonsgm "Zaxxon Super Game (SGM) (HB)"
zcalavera "Zombie Calavera Prologue (HB)"
zenji "Zenji"
zippyrac "Zippy Race (HB)"
zombieinc "Zombie Incident (SGM) (HB)"
zombnear "Zombie Near (HB)"
zombnearb "Zombie Near (Alt) (HB)"
zoom909 "Zoom 909 (HB)"
